individualID,materialSampleID,projectID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefID_short,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,EcoPlotID_full,decimalLatitude_plot,decimalLongitude_plot,depthOfBottominMeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
88,RRAP-ECO3-2021-Ahya-OCLB-88_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210006-7 |P5210008-14,GBRMPA G21/44774.91,Riginos,RRAP,Australia,NA,60,OCLB_FL1S,-18.944082,147.699448,4.7,ECO plot,NA,4.7
94,RRAP-ECO3-2021-Ahya-OCLB-94_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Back1,Shallow,OCLB_BA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949114,147.693065,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210165 |P5210166-9,GBRMPA G21/44774.97,Riginos,RRAP,Australia,NA,60,OCLB_BA1S,-18.949114,147.693065,4.2,ECO plot,NA,4.2
100,RRAP-ECO3-2021-Ahya-OCLB-100_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210116 |P5210117-9,GBRMPA G21/44774.103,Riginos,RRAP,Australia,NA,60,OCLB_FL1S,-18.944082,147.699448,4.7,ECO plot,NA,4.7
102,RRAP-ECO3-2021-Ahya-OCLB-102_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210145 |P5210146-9,GBRMPA G21/44774.105,Riginos,RRAP,Australia,NA,60,OCLB_FL1S,-18.944082,147.699448,4.7,ECO plot,NA,4.7
109,RRAP-ECO3-2021-Ahya-OCLB-109_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Back1,Shallow,OCLB_BA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949114,147.693065,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210190-1 |P5210192,GBRMPA G21/44774.112,Riginos,RRAP,Australia,NA,60,OCLB_BA1S,-18.949114,147.693065,4.2,ECO plot,NA,4.2
113,RRAP-ECO3-2021-Ahya-OCLB-113_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Back1,Shallow,OCLB_BA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949114,147.693065,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P52101206 |P52101207-9,GBRMPA G21/44774.116,Riginos,RRAP,Australia,NA,60,OCLB_BA1S,-18.949114,147.693065,4.2,ECO plot,NA,4.2
116,RRAP-ECO3-2021-Ahya-OCLB-116_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Back1,Shallow,OCLB_BA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949114,147.693065,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210218-9 |P5210220-2,GBRMPA G21/44774.119,Riginos,RRAP,Australia,NA,60,OCLB_BA1S,-18.949114,147.693065,4.2,ECO plot,NA,4.2
163,RRAP-ECO3-2021-Ahya-OCLB-163_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Lagoon1,Shallow,OCLB_LA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,25,5,2021,NA,-18.949409,147.701664,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5240109-10 |P5240111-2,GBRMPA G21/44774.166,Riginos,RRAP,Australia,NA,60,OCLB_LA1S,-18.949409,147.701664,3.4,ECO plot,NA,3.4
166,RRAP-ECO3-2021-Ahya-OCLB-166_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Lagoon1,Shallow,OCLB_LA1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,Katharine Prata,25,5,2021,NA,-18.949409,147.701664,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5240134-5 |P5240136-43,GBRMPA G21/44774.169,Riginos,RRAP,Australia,NA,60,OCLB_LA1S,-18.949409,147.701664,3.4,ECO plot,NA,3.4
195,RRAP-ECO3-2021-Ahya-TSAU-195_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.198,Riginos,RRAP,Australia,NA,60,TSAU_BA2S,-9.8757,143.388545,3,ECO plot,NA,3
