individualID,materialSampleID,projectID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefID_short,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
90,RRAP-ECO3-2021-Ahya-OCLB-90_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210051 |P5210052-55,GBRMPA G21/44774.93,Riginos,RRAP,Australia,NA,60,-18.944082,147.699448,OCLB_FL1S,4.7,ECO plot,NA,4.7
97,RRAP-ECO3-2021-Ahya-OCLB-97_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  didn't take close up,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210096-97 |NA,GBRMPA G21/44774.100,Riginos,RRAP,Australia,NA,60,-18.944082,147.699448,OCLB_FL1S,4.7,ECO plot,NA,4.7
97,RRAP-ECO3-2021-Ahya-OCLB-97_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,NA,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  didn't take close up,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210096-97 |NA,GBRMPA G21/44774.100,Riginos,RRAP,Australia,NA,60,-18.944082,147.699448,OCLB_FL1S,4.7,ECO plot,NA,4.7
101,RRAP-ECO3-2021-Ahya-OCLB-101_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Flank1,Shallow,OCLB_FL1S,NA,NA,,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.944082,147.699448,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210126 |P5210127-8,GBRMPA G21/44774.104,Riginos,RRAP,Australia,NA,60,-18.944082,147.699448,OCLB_FL1S,4.7,ECO plot,NA,4.7
103,RRAP-ECO3-2021-Ahya-OCLB-103_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Back1,Shallow,OCLB_BA1S,NA,NA,,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,22,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949114,147.693065,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5210165 |P5210166-9,GBRMPA G21/44774.106,Riginos,RRAP,Australia,NA,60,-18.949114,147.693065,OCLB_BA1S,4.2,ECO plot,NA,4.2
160,RRAP-ECO3-2021-Ahya-OCLB-160_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Lagoon1,Shallow,OCLB_LA1S,NA,NA,,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,25,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949409,147.701664,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5240074-6 |P5240077-83,GBRMPA G21/44774.163,Riginos,RRAP,Australia,NA,60,-18.949409,147.701664,OCLB_LA1S,3.4,ECO plot,NA,3.4
164,RRAP-ECO3-2021-Ahya-OCLB-164_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Little Broadhurst,OCLB,Lagoon1,Shallow,OCLB_LA1S,NA,NA,,NA,NA,NA,Little Broadhurst,NA,NA,NA,Katharine Prata,25,5,2021,host species =  Acropora hyacinthus  |  NA,-18.949409,147.701664,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Katharine Prata,P5240113-4 |P5240115-8,GBRMPA G21/44774.167,Riginos,RRAP,Australia,NA,60,-18.949409,147.701664,OCLB_LA1S,3.4,ECO plot,NA,3.4
194,RRAP-ECO3-2021-Ahya-TSAU-194_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.197,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
201,RRAP-ECO3-2021-Ahya-TSAU-201_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Front1,Shallow,TSAU_FR1S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,20,4,2021,NA,-9.87996,143.41004,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.204,Riginos,RRAP,Australia,NA,60,-9.87996,143.41004,TSAU_FR1S,3.1,ECO plot,NA,3.1
203,RRAP-ECO3-2021-Ahya-TSAU-203_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.206,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
204,RRAP-ECO3-2021-Ahya-TSAU-204_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.207,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
205,RRAP-ECO3-2021-Ahya-TSAU-205_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.208,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
206,RRAP-ECO3-2021-Ahya-TSAU-206_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.209,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
206,RRAP-ECO3-2021-Ahya-TSAU-207_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.209,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
206,RRAP-ECO3-2021-Ahya-TSMA-208_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,NA,NA,NA,NA,NA,Aukane,NA,NA,NA,Zoe Meziere,22,4,2021,NA,-9.8757,143.388545,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.209,Riginos,RRAP,Australia,NA,60,-9.8757,143.388545,TSAU_BA2S,3,ECO plot,NA,3
391,RRAP-ECO3-2021-Ahya-MOOR-391_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Moore Reef,ONMO,Lagoon1,Shallow,ONMO_LA1S,8,NA,NA,NA,NA,NA,Moore Reef,0.395833333,NA,NA,Zoe Meziere,28,10,2021,NA,-16.859841,146.2256785,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.169,Riginos,RRAP,Australia,NA,60,-16.859841,146.2256785,ONMO_LA1S,3.9,ECO plot,NA,3.9
428,RRAP-ECO3-2021-Ahya-MOOR-428_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Moore Reef,ONMO,Back2,Shallow,ONMO_BA2S,5,NA,NA,NA,NA,NA,Moore Reef,0.604166667,NA,NA,Zoe Meziere,29,10,2021,NA,-16.8820015,146.183993,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.206,Riginos,RRAP,Australia,NA,60,-16.8820015,146.183993,ONMO_BA2S,3.6,ECO plot,NA,3.6
