individualID,materialSampleID,EcoReefID_short,projECT01ID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
Ahya_78a,RRAP-ECT01-2021-Ahya-CBLM-78_L4,CBLM,ECT01,Acropora hyacinthus,Ahya,NA,,Lady Musgrave,NA,NA,CBLM,NA,NA,NA,NA,NA,NA,Lady Musgrave Island Reef Reef,8:41,NA,NA,E Howells,25,1,2021,,-23.907185,152.3869209,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1250815,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2.7,ECT depth,2.7,NA
Ahya_32a,RRAP-ECT01-2021-Ahya-21550-32_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:58,NA,NA,E Howells,19,1,2021,,-21.96297968,152.3072604,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190312,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.3,ECT depth,1.3,NA
Ahya_30a,RRAP-ECT01-2021-Ahya-21550-30-LEG5346-43_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:52,NA,NA,E Howells,19,1,2021,,-21.96297792,152.3072644,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190295,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,3.3,ECT depth,3.3,NA
Ahya_31a,RRAP-ECT01-2021-Ahya-21550-31_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:55,NA,NA,E Howells,19,1,2021,,-21.96297674,152.3072568,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190304,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_28a,RRAP-ECT01-2021-Ahya-21550-28-LEG5346-84_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:43,NA,NA,E Howells,19,1,2021,,-21.96297389,152.3072719,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190282,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,4.6,ECT depth,4.6,NA
Ahya_33a,RRAP-ECT01-2021-Ahya-21550-33_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,16:00,NA,NA,E Howells,19,1,2021,,-21.96296987,152.3072471,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190319,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.1,ECT depth,1.1,NA
Ahya_27a,RRAP-ECT01-2021-Ahya-21550-27_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:38,NA,NA,E Howells,19,1,2021,,-21.96296794,152.3072757,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190273,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,4.1,ECT depth,4.1,NA
Ahya_25a,RRAP-ECT01-2021-Ahya-21550-25_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:24,NA,NA,E Howells,19,1,2021,,-21.96295403,152.3072329,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190261,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,6,ECT depth,6,NA
Ahya_20a,RRAP-ECT01-2021-Ahya-21550-20_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:00,NA,NA,E Howells,19,1,2021,,-21.96291732,152.3072255,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190223,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,3.7,ECT depth,3.7,NA
Ahya_18a,RRAP-ECT01-2021-Ahya-21550-18_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:52,NA,NA,E Howells,19,1,2021,,-21.96288337,152.3072124,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190211,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,5.2,ECT depth,5.2,NA
