decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y
-21.96297968,152.3072604,21-550,21-550_1,1,NA,21-550_1
-21.96297792,152.3072644,21-550,21-550_2,1,NA,21-550_1
-21.96297674,152.3072568,21-550,21-550_3,1,NA,21-550_1
-21.96297641,152.3072649,21-550,21-550_4,1,NA,21-550_1
-21.96297389,152.3072719,21-550,21-550_5,1,NA,21-550_1
-21.96296987,152.3072471,21-550,21-550_6,1,NA,21-550_1
-21.96296794,152.3072757,21-550,21-550_7,1,NA,21-550_1
-21.96295755,152.3072373,21-550,21-550_8,1,NA,21-550_1
-21.96295403,152.3072329,21-550,21-550_9,1,NA,21-550_1
-21.96292897,152.3072169,21-550,21-550_10,1,NA,21-550_1
-21.96292494,152.3072086,21-550,21-550_11,1,NA,21-550_1
-21.96291732,152.3072255,21-550,21-550_12,1,NA,21-550_1
-21.96288337,152.3072124,21-550,21-550_13,1,NA,21-550_1
-21.9628806,152.3072144,21-550,21-550_14,1,NA,21-550_1
-21.96286719,152.3072212,21-550,21-550_15,1,NA,21-550_1
-21.96282637,152.3074762,21-550,21-550_16,2,NA,21-550_2
-21.96282411,152.3074752,21-550,21-550_17,2,NA,21-550_2
-21.96282235,152.3074738,21-550,21-550_18,2,NA,21-550_2
-21.9628195,152.307478,21-550,21-550_19,2,NA,21-550_2
-21.96281732,152.3074827,21-550,21-550_20,2,NA,21-550_2
-21.96281682,152.3074778,21-550,21-550_21,2,NA,21-550_2
-21.96281531,152.3074759,21-550,21-550_22,2,NA,21-550_2
-21.9628112,152.3074771,21-550,21-550_23,2,NA,21-550_2
-21.95621942,152.2967232,21-550,21-550_24,3,NA,21-550_3
-21.95617022,152.2967376,21-550,21-550_25,3,NA,21-550_3
-21.95601197,152.2968814,21-550,21-550_26,4,21-550_4,21-550_4
-21.9558999,152.2968738,21-550,21-550_27,5,NA,21-550_5
-21.95582304,152.2968107,21-550,21-550_28,5,NA,21-550_5
-21.95580762,152.2967776,21-550,21-550_29,5,NA,21-550_5
-21.95577669,152.296778,21-550,21-550_30,5,NA,21-550_5
-21.95560763,152.2969331,21-550,21-550_31,6,21-550_6,21-550_6
-21.95540839,152.2969889,21-550,21-550_32,7,NA,21-550_7
-21.95539883,152.2969731,21-550,21-550_33,7,NA,21-550_7
-21.9546624,152.2972206,21-550,21-550_34,8,21-550_8,21-550_8
-21.95452242,152.2971737,21-550,21-550_35,9,21-550_9,21-550_9
-23.472103,151.977764,CBHE,CBHE_1,10,CBHE_1,CBHE_1
-23.472098,151.977937,CBHE,CBHE_2,11,NA,CBHE_2
-23.4720925,151.978211,CBHE,CBHE_3,12,CBHE_3,CBHE_3
-23.4720845,151.977962,CBHE,CBHE_4,11,NA,CBHE_2
-23.4720295,151.9775415,CBHE,CBHE_5,13,CBHE_4,CBHE_4
-23.4719785,151.9776975,CBHE,CBHE_6,14,CBHE_5,CBHE_5
-23.4719215,151.9778785,CBHE,CBHE_7,15,NA,CBHE_6
-23.471902,151.977954,CBHE,CBHE_8,15,NA,CBHE_6
-23.47086716,151.9512024,CBHE,CBHE_9,16,CBHE_7,CBHE_7
-23.4708662,151.9513931,CBHE,CBHE_10,17,CBHE_8,CBHE_8
-23.47084618,151.9509202,CBHE,CBHE_11,18,CBHE_9,CBHE_9
-23.4708128,151.9507523,CBHE,CBHE_12,19,CBHE_10,CBHE_10
-23.47050095,151.9511948,CBHE,CBHE_13,20,CBHE_11,CBHE_11
-23.4704876,151.9510498,CBHE,CBHE_14,21,CBHE_12,CBHE_12
-23.47042275,151.9508896,CBHE,CBHE_15,22,CBHE_13,CBHE_13
-23.4563285,151.9257705,CBHE,CBHE_16,23,CBHE_14,CBHE_14
-23.4561805,151.925674,CBHE,CBHE_17,24,CBHE_15,CBHE_15
-23.4561095,151.925544,CBHE,CBHE_18,25,NA,CBHE_16
-23.456009,151.925543,CBHE,CBHE_19,25,NA,CBHE_16
-23.44033973,151.9801186,CBHE,CBHE_20,26,NA,CBHE_17
-23.44033797,151.9801228,CBHE,CBHE_21,26,NA,CBHE_17
-23.44028508,151.9801782,CBHE,CBHE_22,26,NA,CBHE_17
-23.44025264,151.9804592,CBHE,CBHE_23,27,NA,CBHE_18
-23.44025072,151.9804624,CBHE,CBHE_24,27,NA,CBHE_18
-23.44024049,151.9805168,CBHE,CBHE_25,27,NA,CBHE_18
-23.4402363,151.9805277,CBHE,CBHE_26,27,NA,CBHE_18
-23.44023538,151.9804982,CBHE,CBHE_27,27,NA,CBHE_18
-23.44023286,151.9805083,CBHE,CBHE_28,27,NA,CBHE_18
-23.4402156,151.9805621,CBHE,CBHE_29,27,NA,CBHE_18
-23.44016489,151.9804647,CBHE,CBHE_30,27,NA,CBHE_18
-23.44016053,151.9802457,CBHE,CBHE_31,28,NA,CBHE_19
-23.4401265,151.9802402,CBHE,CBHE_32,28,NA,CBHE_19
-23.44011527,151.9805075,CBHE,CBHE_33,27,NA,CBHE_18
-23.44011392,151.9802236,CBHE,CBHE_34,28,NA,CBHE_19
-23.44007193,151.9803006,CBHE,CBHE_35,28,NA,CBHE_19
-23.44005592,151.9802674,CBHE,CBHE_36,28,NA,CBHE_19
-23.44004955,151.9802609,CBHE,CBHE_37,28,NA,CBHE_19
-23.43984369,151.9830175,CBHE,CBHE_38,29,NA,CBHE_20
-23.43983229,151.9829794,CBHE,CBHE_39,29,NA,CBHE_20
-23.43977496,151.9797213,CBHE,CBHE_40,30,NA,CBHE_21
-23.43975786,151.979636,CBHE,CBHE_41,30,NA,CBHE_21
-23.43975744,151.9827861,CBHE,CBHE_42,31,CBHE_22,CBHE_22
-23.43975342,151.979739,CBHE,CBHE_43,30,NA,CBHE_21
-23.43974604,151.9829475,CBHE,CBHE_44,29,NA,CBHE_20
-23.43974303,151.9797493,CBHE,CBHE_45,30,NA,CBHE_21
-23.43974219,151.9800225,CBHE,CBHE_46,32,CBHE_23,CBHE_23
-23.43973992,151.9829582,CBHE,CBHE_47,29,NA,CBHE_20
-23.43969902,151.9797729,CBHE,CBHE_48,30,NA,CBHE_21
-23.43969793,151.9829468,CBHE,CBHE_49,29,NA,CBHE_20
-23.43968485,151.9797746,CBHE,CBHE_50,30,NA,CBHE_21
