decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y,clusterID.x.x,clusterID.y.y,clusterID
-21.96297968,152.3072604,21-550,21-550_1,1,NA,NA,21-550_1,NA,21-550_1
-21.96297792,152.3072644,21-550,21-550_2,1,NA,NA,21-550_1,NA,21-550_1
-21.96297674,152.3072568,21-550,21-550_3,1,NA,NA,21-550_1,NA,21-550_1
-21.96297641,152.3072649,21-550,21-550_4,1,NA,NA,21-550_1,NA,21-550_1
-21.96297389,152.3072719,21-550,21-550_5,1,NA,NA,21-550_1,NA,21-550_1
-21.96296987,152.3072471,21-550,21-550_6,1,NA,NA,21-550_1,NA,21-550_1
-21.96296794,152.3072757,21-550,21-550_7,1,NA,NA,21-550_1,NA,21-550_1
-21.96295755,152.3072373,21-550,21-550_8,1,NA,NA,21-550_1,NA,21-550_1
-21.96295403,152.3072329,21-550,21-550_9,1,NA,NA,21-550_1,NA,21-550_1
-21.96292897,152.3072169,21-550,21-550_10,1,NA,NA,21-550_1,NA,21-550_1
-21.96292494,152.3072086,21-550,21-550_11,1,NA,NA,21-550_1,NA,21-550_1
-21.96291732,152.3072255,21-550,21-550_12,1,NA,NA,21-550_1,NA,21-550_1
-21.96288337,152.3072124,21-550,21-550_13,1,NA,NA,21-550_1,NA,21-550_1
-21.9628806,152.3072144,21-550,21-550_14,1,NA,NA,21-550_1,NA,21-550_1
-21.96286719,152.3072212,21-550,21-550_15,1,NA,NA,21-550_1,NA,21-550_1
-21.96282637,152.3074762,21-550,21-550_16,1,NA,NA,21-550_2,NA,21-550_1
-21.96282411,152.3074752,21-550,21-550_17,1,NA,NA,21-550_2,NA,21-550_1
-21.96282235,152.3074738,21-550,21-550_18,1,NA,NA,21-550_2,NA,21-550_1
-21.9628195,152.307478,21-550,21-550_19,1,NA,NA,21-550_2,NA,21-550_1
-21.96281732,152.3074827,21-550,21-550_20,1,NA,NA,21-550_2,NA,21-550_1
-21.96281682,152.3074778,21-550,21-550_21,1,NA,NA,21-550_2,NA,21-550_1
-21.96281531,152.3074759,21-550,21-550_22,1,NA,NA,21-550_2,NA,21-550_1
-21.9628112,152.3074771,21-550,21-550_23,1,NA,NA,21-550_2,NA,21-550_1
-21.95621942,152.2967232,21-550,21-550_24,2,NA,NA,21-550_3,NA,21-550_2
-21.95617022,152.2967376,21-550,21-550_25,2,NA,NA,21-550_3,NA,21-550_2
-21.95601197,152.2968814,21-550,21-550_26,2,21-550_4,21-550_4,21-550_4,NA,21-550_2
-21.9558999,152.2968738,21-550,21-550_27,2,NA,NA,21-550_5,NA,21-550_2
-21.95582304,152.2968107,21-550,21-550_28,2,NA,NA,21-550_5,NA,21-550_2
-21.95580762,152.2967776,21-550,21-550_29,2,NA,NA,21-550_5,NA,21-550_2
-21.95577669,152.296778,21-550,21-550_30,2,NA,NA,21-550_5,NA,21-550_2
-21.95560763,152.2969331,21-550,21-550_31,2,21-550_6,21-550_6,21-550_6,NA,21-550_2
-21.95540839,152.2969889,21-550,21-550_32,2,NA,NA,21-550_7,NA,21-550_2
-21.95539883,152.2969731,21-550,21-550_33,2,NA,NA,21-550_7,NA,21-550_2
-21.9546624,152.2972206,21-550,21-550_34,3,21-550_8,21-550_8,21-550_8,NA,21-550_3
-21.95452242,152.2971737,21-550,21-550_35,3,21-550_9,21-550_9,21-550_9,NA,21-550_3
-23.472103,151.977764,CBHE,CBHE_1,4,CBHE_1,CBHE_1,CBHE_1,NA,CBHE_1
-23.472098,151.977937,CBHE,CBHE_2,4,NA,NA,CBHE_2,NA,CBHE_1
-23.4720925,151.978211,CBHE,CBHE_3,4,CBHE_3,CBHE_3,CBHE_3,NA,CBHE_1
-23.4720845,151.977962,CBHE,CBHE_4,4,NA,NA,CBHE_2,NA,CBHE_1
-23.4720295,151.9775415,CBHE,CBHE_5,4,CBHE_4,CBHE_4,CBHE_4,NA,CBHE_1
-23.4719785,151.9776975,CBHE,CBHE_6,4,CBHE_5,CBHE_5,CBHE_5,NA,CBHE_1
-23.4719215,151.9778785,CBHE,CBHE_7,4,NA,NA,CBHE_6,NA,CBHE_1
-23.471902,151.977954,CBHE,CBHE_8,4,NA,NA,CBHE_6,NA,CBHE_1
-23.47086716,151.9512024,CBHE,CBHE_9,5,CBHE_7,CBHE_7,CBHE_7,NA,CBHE_2
