species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters,locationID,clusterID_num
Aspa,Aspat-1000,RRAP_ECT01_2022_Aspat_OCCH_1000,-18.670069,147.707557,OCCH,1.3,NA,NA,OCCH_60,225
Aspa,Aspat-1501,RRAP_ECT01_2022_Aspat_OCCH_1501,-18.669954,147.707641,OCCH,1.9,NA,NA,OCCH_90,227
Aspa,Aspat-1502,RRAP_ECT01_2022_Aspat_OCCH_1502,-18.669934,147.707631,OCCH,1.3,NA,NA,OCCH_98,227
Aspa,Aspat-1503,RRAP_ECT01_2022_Aspat_OCCH_1503,-18.669915,147.707647,OCCH,0.7,NA,NA,OCCH_104,227
Aspa,Aspat-1504,RRAP_ECT01_2022_Aspat_OCCH_1504,-18.669891,147.70765,OCCH,0.6,NA,NA,OCCH_107,227
Aspa,Aspat-1505,RRAP_ECT01_2022_Aspat_OCCH_1505,-18.669833,147.707649,OCCH,1.3,NA,NA,OCCH_115,227
Aspa,Aspat-1506,RRAP_ECT01_2022_Aspat_OCCH_1506,-18.670243,147.707176,OCCH,3.1,NA,NA,OCCH_40,223
Aspa,Aspat-1507,RRAP_ECT01_2022_Aspat_OCCH_1507,-18.670177,147.707149,OCCH,3,NA,NA,OCCH_45,223
Aspa,Aspat-1508,RRAP_ECT01_2022_Aspat_OCCH_1508,-18.670196,147.707095,OCCH,4.6,NA,NA,OCCH_42,223
Aspa,Aspat-1509,RRAP_ECT01_2022_Aspat_OCCH_1509,-18.670143,147.707036,OCCH,4.3,NA,NA,OCCH_49,223
Aspa,Aspat-1510,RRAP_ECT01_2022_Aspat_OCCH_1510,-18.669605,147.706998,OCCH,1.5,NA,NA,OCCH_130,231
Aspa,Aspat-1511,RRAP_ECT01_2022_Aspat_OCCH_1511,-18.669619,147.70699,OCCH,1.6,NA,NA,OCCH_129,231
Aspa,Aspat-1512,RRAP_ECT01_2022_Aspat_OCCH_1512,-18.669588,147.706966,OCCH,0.1,NA,NA,OCCH_131,231
Aspa,Aspat-1513,RRAP_ECT01_2022_Aspat_OCCH_1513,-18.669571,147.7069,OCCH,-0.3,NA,NA,OCCH_132,231
Aspa,Aspat-1514,RRAP_ECT01_2022_Aspat_OCCH_1514,-18.66948,147.706859,OCCH,0.2,NA,NA,OCCH_133,231
Aspa,Aspat-1515,RRAP_ECT01_2022_Aspat_OCCH_1515,-18.669474,147.706875,OCCH,-0.4,NA,NA,OCCH_134,231
Aspa,Aspat-1516,RRAP_ECT01_2022_Aspat_OCCH_1516,-18.669426,147.706876,OCCH,-0.4,NA,NA,OCCH_135,231
Aspa,Aspat-1516-B,RRAP_ECT01_2022_Aspat_OCCH_1516_B,-18.669426,147.706876,OCCH,-0.4,NA,NA,OCCH_135,231
Aspa,Aspat-1517,RRAP_ECT01_2022_Aspat_OCCH_1517,-18.669365,147.706865,OCCH,-0.2,NA,NA,OCCH_136,231
Aspa,Aspat-1518,RRAP_ECT01_2022_Aspat_OCCH_1518,-18.669363,147.70688,OCCH,-0.3,NA,NA,OCCH_137,231
Aspa,Aspat-1519,RRAP_ECT01_2022_Aspat_OCCH_1519,-18.669288,147.706917,OCCH,-0.1,NA,NA,OCCH_141,231
Aspa,Aspat-1520,RRAP_ECT01_2022_Aspat_OCCH_1520,-18.669297,147.706837,OCCH,-0.1,NA,NA,OCCH_139,231
Aspa,Aspat-1521,RRAP_ECT01_2022_Aspat_OCCH_1521,-18.669341,147.706728,OCCH,-0.2,NA,NA,OCCH_138,232
Aspa,Aspat-1522,RRAP_ECT01_2022_Aspat_OCCH_1522,-18.669281,147.706613,OCCH,-0.4,NA,NA,OCCH_142,233
Aspa,Aspat-1523,RRAP_ECT01_2022_Aspat_OCCH_1523,-18.669272,147.706599,OCCH,0.1,NA,NA,OCCH_144,233
Aspa,Aspat-1524,RRAP_ECT01_2022_Aspat_OCCH_1524,-18.669263,147.706531,OCCH,-0.4,NA,NA,OCCH_145,233
Aspa,Aspat-1525,RRAP_ECT01_2022_Aspat_OCCH_1525,-18.669259,147.706465,OCCH,-0.2,NA,NA,OCCH_146,233
Aspa,Aspat-1526,RRAP_ECT01_2022_Aspat_OCCH_1526,-18.669294,147.706362,OCCH,-0.1,NA,NA,OCCH_140,233
Aspa,Aspat-1527,RRAP_ECT01_2022_Aspat_OCCH_1527,-18.669277,147.706265,OCCH,-0.4,NA,NA,OCCH_143,233
Aspa,Aspat-1528,RRAP_ECT01_2022_Aspat_OCCH_1528,-18.669219,147.706159,OCCH,-0.3,NA,NA,OCCH_147,234
Aspa,Aspat-1529,RRAP_ECT01_2022_Aspat_OCCH_1529,-18.669165,147.705974,OCCH,-0.3,NA,NA,OCCH_148,235
Aspa,Aspat-1530,RRAP_ECT01_2022_Aspat_OCCH_1530,-18.669634,147.706013,OCCH,0,NA,NA,OCCH_128,230
Aspa,Aspat-1531,RRAP_ECT01_2022_Aspat_OCCH_1531,-18.669939,147.705889,OCCH,1.4,NA,NA,OCCH_96,226
Aspa,Aspat-1532,RRAP_ECT01_2022_Aspat_OCCH_1532,-18.66994,147.705884,OCCH,1.6,NA,NA,OCCH_94,226
Aspa,Aspat-1533,RRAP_ECT01_2022_Aspat_OCCH_1533,-18.669945,147.705881,OCCH,0.5,NA,NA,OCCH_92,226
Aspa,Aspat-1534,RRAP_ECT01_2022_Aspat_OCCH_1534,-18.67002,147.705903,OCCH,1.7,NA,NA,OCCH_74,226
Aspa,Aspat-1535,RRAP_ECT01_2022_Aspat_OCCH_1535,-18.670025,147.705901,OCCH,1.4,NA,NA,OCCH_73,226
Aspa,Aspat-1536,RRAP_ECT01_2022_Aspat_OCDA_1536,-18.825859,147.626415,OCDA,0,NA,NA,OCDA_66,253
Aspa,Aspat-1537,RRAP_ECT01_2022_Aspat_OCDA_1537,-18.825871,147.626419,OCDA,0,NA,NA,OCDA_64,253
Aspa,Aspat-1538,RRAP_ECT01_2022_Aspat_OCDA_1538,-18.825882,147.626386,OCDA,0.1,NA,NA,OCDA_60,253
Aspa,Aspat-1539,RRAP_ECT01_2022_Aspat_OCDA_1539,-18.825906,147.626386,OCDA,0.2,NA,NA,OCDA_55,253
Aspa,Aspat-1540,RRAP_ECT01_2022_Aspat_OCDA_1540,-18.82592,147.626429,OCDA,0.1,NA,NA,OCDA_54,253
Aspa,Aspat-1541,RRAP_ECT01_2022_Aspat_OCDA_1541,-18.825968,147.626451,OCDA,0.2,NA,NA,OCDA_49,253
Aspa,Aspat-1542,RRAP_ECT01_2022_Aspat_OCDA_1542,-18.825962,147.626476,OCDA,0.2,NA,NA,OCDA_51,253
Aspa,Aspat-1543,RRAP_ECT01_2022_Aspat_OCDA_1543,-18.825956,147.626479,OCDA,0.2,NA,NA,OCDA_52,253
Aspa,Aspat-1544,RRAP_ECT01_2022_Aspat_OCDA_1544,-18.825974,147.626483,OCDA,0.1,NA,NA,OCDA_48,253
Aspa,Aspat-1545,RRAP_ECT01_2022_Aspat_OCDA_1545,-18.825978,147.626527,OCDA,0.3,NA,NA,OCDA_47,253
Aspa,Aspat-1546,RRAP_ECT01_2022_Aspat_OCDA_1546,-18.826015,147.626526,OCDA,0.3,NA,NA,OCDA_42,253
Aspa,Aspat-1547,RRAP_ECT01_2022_Aspat_OCDA_1547,-18.825987,147.626538,OCDA,0.2,NA,NA,OCDA_46,253
Aspa,Aspat-1548,RRAP_ECT01_2022_Aspat_OCDA_1548,-18.826001,147.626555,OCDA,0.2,NA,NA,OCDA_43,253
Aspa,Aspat-1549,RRAP_ECT01_2022_Aspat_OCDA_1549,-18.825988,147.62659,OCDA,0.1,NA,NA,OCDA_45,253
Aspa,Aspat-1550,RRAP_ECT01_2022_Aspat_OCDA_1550,-18.825964,147.626623,OCDA,0.3,NA,NA,OCDA_50,253
Aspa,Aspat-1551,RRAP_ECT01_2022_Aspat_OCDA_1551,-18.825865,147.626609,OCDA,3.9,NA,NA,OCDA_65,253
Aspa,Aspat-1552,RRAP_ECT01_2022_Aspat_OCDA_1552,-18.825875,147.62662,OCDA,3,NA,NA,OCDA_62,253
Aspa,Aspat-1553,RRAP_ECT01_2022_Aspat_OCDA_1553,-18.825873,147.62664,OCDA,3.5,NA,NA,OCDA_63,253
Aspa,Aspat-1554,RRAP_ECT01_2022_Aspat_OCDA_1554,-18.825879,147.626661,OCDA,2.3,NA,NA,OCDA_61,253
Aspa,Aspat-1555,RRAP_ECT01_2022_Aspat_OCDA_1555,-18.825885,147.626673,OCDA,1.8,NA,NA,OCDA_58,253
Aspa,Aspat-1556,RRAP_ECT01_2022_Aspat_OCDA_1556,-18.825883,147.626682,OCDA,1.3,NA,NA,OCDA_59,253
Aspa,Aspat-1557,RRAP_ECT01_2022_Aspat_OCDA_1557,-18.825902,147.626646,OCDA,0.4,NA,NA,OCDA_56,253
Aspa,Aspat-1558,RRAP_ECT01_2022_Aspat_OCDA_1558,-18.82594,147.626663,OCDA,1.5,NA,NA,OCDA_53,253
Aspa,Aspat-1559,RRAP_ECT01_2022_Aspat_OCDA_1559,-18.825767,147.62643,OCDA,0.4,NA,NA,OCDA_71,253
Aspa,Aspat-1560,RRAP_ECT01_2022_Aspat_OCDA_1560,-18.825762,147.626444,OCDA,2.5,NA,NA,OCDA_72,253
Aspa,Aspat-1561,RRAP_ECT01_2022_Aspat_OCDA_1561,-18.825755,147.626447,OCDA,2.6,NA,NA,OCDA_73,253
Aspa,Aspat-1562,RRAP_ECT01_2022_Aspat_OCDA_1562,-18.82577,147.626469,OCDA,2.2,NA,NA,OCDA_69,253
Aspa,Aspat-1563,RRAP_ECT01_2022_Aspat_OCDA_1563,-18.82579,147.626481,OCDA,1.8,NA,NA,OCDA_68,253
Aspa,Aspat-1564,RRAP_ECT01_2022_Aspat_OCDA_1564,-18.825689,147.626434,OCDA,2.2,NA,NA,OCDA_75,253
Aspa,Aspat-1565,RRAP_ECT01_2022_Aspat_OCDA_1565,-18.825615,147.626457,OCDA,1.8,NA,NA,OCDA_82,253
Aspa,Aspat-1566,RRAP_ECT01_2022_Aspat_OCDA_1566,-18.82562,147.626455,OCDA,0.2,NA,NA,OCDA_80,253
Aspa,Aspat-1567,RRAP_ECT01_2022_Aspat_OCDA_1567,-18.825596,147.626534,OCDA,0.4,NA,NA,OCDA_84,253
Aspa,Aspat-1568,RRAP_ECT01_2022_Aspat_OCDA_1568,-18.825596,147.626534,OCDA,0.4,NA,NA,OCDA_84,253
Aspa,Aspat-1569,RRAP_ECT01_2022_Aspat_OCDA_1569,-18.825446,147.626433,OCDA,0.3,NA,NA,OCDA_110,253
Aspa,Aspat-1570,RRAP_ECT01_2022_Aspat_OCDA_1570,-18.825503,147.626439,OCDA,0.2,NA,NA,OCDA_91,253
Aspa,Aspat-1571,RRAP_ECT01_2022_Aspat_OCDA_1571,-18.825484,147.626413,OCDA,0.4,NA,NA,OCDA_97,253
Aspa,Aspat-1572,RRAP_ECT01_2022_Aspat_OCDA_1572,-18.825469,147.626454,OCDA,0.4,NA,NA,OCDA_101,253
Aspa,Aspat-1573,RRAP_ECT01_2022_Aspat_OCDA_1573,-18.825492,147.62644,OCDA,0.3,NA,NA,OCDA_93,253
