species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters
Aspa,Aspat-1501,RRAP_ECT01_2022_Aspat_OCCH_1501,-18.669954,147.707641,OCCH,1.9,NA,NA
Aspa,Aspat-1505,RRAP_ECT01_2022_Aspat_OCCH_1505,-18.669833,147.707649,OCCH,1.3,NA,NA
Aspa,Aspat-1507,RRAP_ECT01_2022_Aspat_OCCH_1507,-18.670177,147.707149,OCCH,3,NA,NA
Aspa,Aspat-1508,RRAP_ECT01_2022_Aspat_OCCH_1508,-18.670196,147.707095,OCCH,4.6,NA,NA
Aspa,Aspat-1509,RRAP_ECT01_2022_Aspat_OCCH_1509,-18.670143,147.707036,OCCH,4.3,NA,NA
Aspa,Aspat-1513,RRAP_ECT01_2022_Aspat_OCCH_1513,-18.669571,147.7069,OCCH,-0.3,NA,NA
Aspa,Aspat-1516,RRAP_ECT01_2022_Aspat_OCCH_1516,-18.669426,147.706876,OCCH,-0.4,NA,NA
Aspa,Aspat-1517,RRAP_ECT01_2022_Aspat_OCCH_1517,-18.669365,147.706865,OCCH,-0.2,NA,NA
Aspa,Aspat-1518,RRAP_ECT01_2022_Aspat_OCCH_1518,-18.669363,147.70688,OCCH,-0.3,NA,NA
Aspa,Aspat-1519,RRAP_ECT01_2022_Aspat_OCCH_1519,-18.669288,147.706917,OCCH,-0.1,NA,NA
Aspa,Aspat-1520,RRAP_ECT01_2022_Aspat_OCCH_1520,-18.669297,147.706837,OCCH,-0.1,NA,NA
Aspa,Aspat-1522,RRAP_ECT01_2022_Aspat_OCCH_1522,-18.669281,147.706613,OCCH,-0.4,NA,NA
Aspa,Aspat-1526,RRAP_ECT01_2022_Aspat_OCCH_1526,-18.669294,147.706362,OCCH,-0.1,NA,NA
Aspa,Aspat-1527,RRAP_ECT01_2022_Aspat_OCCH_1527,-18.669277,147.706265,OCCH,-0.4,NA,NA
Aspa,Aspat-1529,RRAP_ECT01_2022_Aspat_OCCH_1529,-18.669165,147.705974,OCCH,-0.3,NA,NA
Aspa,Aspat-1530,RRAP_ECT01_2022_Aspat_OCCH_1530,-18.669634,147.706013,OCCH,0,NA,NA
Aspa,Aspat-1531,RRAP_ECT01_2022_Aspat_OCCH_1531,-18.669939,147.705889,OCCH,1.4,NA,NA
Aspa,Aspat-1534,RRAP_ECT01_2022_Aspat_OCCH_1534,-18.67002,147.705903,OCCH,1.7,NA,NA
Aspa,Aspat-1536,RRAP_ECT01_2022_Aspat_OCDA_1536,-18.825859,147.626415,OCDA,0,NA,NA
Aspa,Aspat-1537,RRAP_ECT01_2022_Aspat_OCDA_1537,-18.825871,147.626419,OCDA,0,NA,NA
Aspa,Aspat-1538,RRAP_ECT01_2022_Aspat_OCDA_1538,-18.825882,147.626386,OCDA,0.1,NA,NA
Aspa,Aspat-1539,RRAP_ECT01_2022_Aspat_OCDA_1539,-18.825906,147.626386,OCDA,0.2,NA,NA
Aspa,Aspat-1541,RRAP_ECT01_2022_Aspat_OCDA_1541,-18.825968,147.626451,OCDA,0.2,NA,NA
Aspa,Aspat-1542,RRAP_ECT01_2022_Aspat_OCDA_1542,-18.825962,147.626476,OCDA,0.2,NA,NA
Aspa,Aspat-1543,RRAP_ECT01_2022_Aspat_OCDA_1543,-18.825956,147.626479,OCDA,0.2,NA,NA
Aspa,Aspat-1548,RRAP_ECT01_2022_Aspat_OCDA_1548,-18.826001,147.626555,OCDA,0.2,NA,NA
Aspa,Aspat-1551,RRAP_ECT01_2022_Aspat_OCDA_1551,-18.825865,147.626609,OCDA,3.9,NA,NA
Aspa,Aspat-1552,RRAP_ECT01_2022_Aspat_OCDA_1552,-18.825875,147.62662,OCDA,3,NA,NA
Aspa,Aspat-1556,RRAP_ECT01_2022_Aspat_OCDA_1556,-18.825883,147.626682,OCDA,1.3,NA,NA
Aspa,Aspat-1557,RRAP_ECT01_2022_Aspat_OCDA_1557,-18.825902,147.626646,OCDA,0.4,NA,NA
Aspa,Aspat-1559,RRAP_ECT01_2022_Aspat_OCDA_1559,-18.825767,147.62643,OCDA,0.4,NA,NA
Aspa,Aspat-1560,RRAP_ECT01_2022_Aspat_OCDA_1560,-18.825762,147.626444,OCDA,2.5,NA,NA
Aspa,Aspat-1561,RRAP_ECT01_2022_Aspat_OCDA_1561,-18.825755,147.626447,OCDA,2.6,NA,NA
Aspa,Aspat-1565,RRAP_ECT01_2022_Aspat_OCDA_1565,-18.825615,147.626457,OCDA,1.8,NA,NA
Aspa,Aspat-1567,RRAP_ECT01_2022_Aspat_OCDA_1567,-18.825596,147.626534,OCDA,0.4,NA,NA
Aspa,Aspat-1569,RRAP_ECT01_2022_Aspat_OCDA_1569,-18.825446,147.626433,OCDA,0.3,NA,NA
Aspa,Aspat-1570,RRAP_ECT01_2022_Aspat_OCDA_1570,-18.825503,147.626439,OCDA,0.2,NA,NA
Aspa,Aspat-1572,RRAP_ECT01_2022_Aspat_OCDA_1572,-18.825469,147.626454,OCDA,0.4,NA,NA
Aspa,Aspat-1573,RRAP_ECT01_2022_Aspat_OCDA_1573,-18.825492,147.62644,OCDA,0.3,NA,NA
