individualID,materialSampleID,decimalLatitude,decimalLongitude,EcoLocationID_short,lineage
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
830,RRAP-ECO3-2022-Ahya-TSAU-830_L3,NA,NA,NA,Ahya_taxon2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BLCH197A,RRAP-ECO3-2022-Ahya-BLCH197A_L2,NA,NA,PAPE_FR1S,Ahya_taxon3
BLCH219A,RRAP-ECO3-2022-Ahya-BLCH219A_L2,NA,NA,PAOR_FL1S,Ahya_taxon3
1084,RRAP-ECO3-2022-Ahya-TSAU-1084_L3,NA,NA,TSAU_FR1S,Ahya_taxon3
1087,RRAP-ECO3-2022-Ahya-TSAU-1087_L2,NA,NA,TSAU_FR1S,Ahya_taxon3
1089,RRAP-ECO3-2022-Ahya-TSAU-1089_L3,NA,NA,TSAU_FR1S,Ahya_taxon3
855,RRAP-ECO3-2022-Ahya-TSAU-855_L3,NA,NA,TSAU_FL1S,Ahya_taxon3
888,RRAP-ECO3-2022-Ahya-TSAU-888_L2,NA,NA,TSAU_BA2S,Ahya_taxon3
889,RRAP-ECO3-2022-Ahya-TSAU-889_L3,NA,NA,NA,Ahya_taxon3
1153,RRAP-ECO3-2022-Ahya-TSDU-1153_L2,NA,NA,TSDU_LA1S,Ahya_taxon3
1185,RRAP-ECO3-2022-Ahya-TSDU-1185_L2,NA,NA,TSDU_BA2S,Ahya_taxon3
1021,RRAP-ECO3-2022-Ahya-TSMA-1021_L2,NA,NA,TSMA_FL1S,Ahya_taxon3
972,RRAP-ECO3-2022-Ahya-TSMA-972_L3,NA,NA,TSMA_BA1S,Ahya_taxon3
76B,RRAP-ECO03-2022-Ahya-OCDA-76B_L1,NA,NA,OCDA_BA2S,Ahya_taxon4
90B,RRAP-ECO03-2022-Ahya-OCDA-90B_L1,NA,NA,NA,Ahya_taxon4
Ahya_115a,RRAP-ECT01-2021-Ahya-CBLM-115_L2,NA,NA,CBLM,Ahya_taxon4
Ahya_1780,RRAP-ECT01-2022-Ahya-CBLM-1780_L2,NA,NA,NA,Ahya_taxon4
Ahya_1783,RRAP-ECT01-2022-Ahya-CBLM-1783_L2,NA,NA,NA,Ahya_taxon4
322,RRAP-ECO3-2021-Ahya-MOOR-322_L3,NA,NA,NA,Ahya_taxon1
BLCH13A,RRAP-ECO3-2022-Ahya-BLCH13A_L2,-18.8259,147.62727,OCDA_BA1S,Ahya_taxon1
1142,RRAP-ECO3-2022-Ahya-TSDU-1142_L2,-9.9312,143.00543,TSDU_FR1S,Ahya_taxon1
Ahya_109a,RRAP-ECT01-2021-Ahya-CBLM-109_L3,NA,NA,CBLM,Ahya_taxon1
Ahya_113a,RRAP-ECT01-2021-Ahya-CBLM-113_L4,NA,NA,CBLM,Ahya_taxon1
Ahya_116a,RRAP-ECT01-2021-Ahya-CBLM-116_L3,NA,NA,CBLM,Ahya_taxon1
