vcf_name,sequence_comments,sample_name,batch,lane,short_name,individualID,reef_code,EcoLocationID,site_code,lat,lon,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-OCDA-1812_L2,,RRAP-ECO03-2023-Shys-OCDA-1812,batch1,L2,OCDA-1812,1812,OCDA,OCDA_FL1S,OCDA_FL1S,-18.80563,147.66845,4.8,4.8,Davies,Flank1,5m,Shallow,Plot3,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7745_L4,,Deepcat-PM-2014-Shys-RUBA-7745,batch2,L4,RUBA-7745,7745,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7754_L4,,Deepcat-PM-2014-Shys-RUBA-7754,batch2,L4,RUBA-7754,7754,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7756_L4,,Deepcat-PM-2014-Shys-RUBA-7756,batch2,L4,RUBA-7756,7756,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7758_L4,,Deepcat-PM-2014-Shys-RUBA-7758,batch2,L4,RUBA-7758,7758,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7757_L4,,Deepcat-PM-2014-Shys-RUBA-7757,batch2,L4,RUBA-7757,7757,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7746_L4,,Deepcat-PM-2014-Shys-RUBA-7746,batch2,L4,RUBA-7746,7746,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7761_L4,,Deepcat-PM-2014-Shys-RUBA-7761,batch2,L4,RUBA-7761,7761,RUBY,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3022_L4,,RRAP-ECO03-2023-Shys-ONLI-3022,batch2,L4,ONLI-3022,3022,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,1.7,1.7,Lizard,NA,5m,Shallow,NA,1.7,20,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3023_L4,,RRAP-ECO03-2023-Shys-ONLI-3023,batch2,L4,ONLI-3023,3023,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,1.7,1.7,Lizard,NA,5m,Shallow,NA,1.7,>50,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3017_L4,,RRAP-ECO03-2023-Shys-ONLI-3017,batch2,L4,ONLI-3017,3017,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2,2,Lizard,NA,5m,Shallow,NA,2,12,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3026_L4,,RRAP-ECO03-2023-Shys-ONLI-3026,batch2,L4,ONLI-3026,3026,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2.2,2.2,Lizard,NA,5m,Shallow,NA,2.2,10,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3024_L4,,RRAP-ECO03-2023-Shys-ONLI-3024,batch2,L4,ONLI-3024,3024,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2.8,2.8,Lizard,NA,5m,Shallow,NA,2.8,15,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3019_L4,,RRAP-ECO03-2023-Shys-ONLI-3019,batch2,L4,ONLI-3019,3019,ONLI,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,3.3,3.3,Lizard,NA,5m,Shallow,NA,3.3,>50,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2919_L4,,RRAP-ECO03-2023-Shys-ONLI-2919,batch2,L4,ONLI-2919,2919,ONLI,ONLI_LA1S,ONLI_LA1S,-14.687707,145.465276,4.4,4.4,Lizard,NA,5m,Shallow,NA,4.4,25,2023,Lagoon,Lagoon1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2920_L4,,RRAP-ECO03-2023-Shys-ONLI-2920,batch2,L4,ONLI-2920,2920,ONLI,ONLI_LA1S,ONLI_LA1S,-14.687707,145.465276,5.8,5.8,Lizard,NA,5m,Shallow,NA,5.8,7,2023,Lagoon,Lagoon1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2998_L4,,RRAP-ECO03-2023-Shys-ONLI-2998,batch2,L4,ONLI-2998,2998,ONLI,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.4,1.4,Lizard,NA,5m,Shallow,NA,1.4,20,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2990_L4,,RRAP-ECO03-2023-Shys-ONLI-2990,batch2,L4,ONLI-2990,2990,ONLI,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.4,1.4,Lizard,NA,5m,Shallow,NA,1.4,35,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2999_L4,,RRAP-ECO03-2023-Shys-ONLI-2999,batch2,L4,ONLI-2999,2999,ONLI,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.5,1.5,Lizard,NA,5m,Shallow,NA,1.5,35,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3004_L4,,RRAP-ECO03-2023-Shys-ONLI-3004,batch2,L4,ONLI-3004,3004,ONLI,ONLI_TA1S,ONLI_TA1S,-14.685111,145.466972,1.2,1.2,Lizard,NA,5m,Shallow,NA,1.2,>50,2023,Lagoon,Tail1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3001_L4,,RRAP-ECO03-2023-Shys-ONLI-3001,batch2,L4,ONLI-3001,3001,ONLI,ONLI_TA1S,ONLI_TA1S,-14.685111,145.466972,1.9,1.9,Lizard,NA,5m,Shallow,NA,1.9,>50,2023,Lagoon,Tail1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2949_L4,,RRAP-ECO03-2023-Shys-ONLI-2949,batch2,L4,ONLI-2949,2949,ONLI,ONLI_BV1S,ONLI_BV1S,-14.684389,145.44,2.1,2.1,Lizard,NA,5m,Shallow,NA,2.1,5,2023,Back,BigVicki1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2956_L4,,RRAP-ECO03-2023-Shys-ONLI-2956,batch2,L4,ONLI-2956,2956,ONLI,ONLI_BV1S,ONLI_BV1S,-14.684389,145.44,2.5,2.5,Lizard,NA,5m,Shallow,NA,2.5,30,2023,Back,BigVicki1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2953_L4,,RRAP-ECO03-2023-Shys-ONLI-2953,batch2,L4,ONLI-2953,2953,ONLI,ONLI_BV1S,ONLI_BV1S,-14.684389,145.44,2.8,2.8,Lizard,NA,5m,Shallow,NA,2.8,25,2023,Back,BigVicki1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2979_L4,,RRAP-ECO03-2023-Shys-ONLI-2979,batch2,L4,ONLI-2979,2979,ONLI,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.7,4.7,Lizard,NA,5m,Shallow,NA,4.7,6,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2969_L4,,RRAP-ECO03-2023-Shys-ONLI-2969,batch2,L4,ONLI-2969,2969,ONLI,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.8,4.8,Lizard,NA,5m,Shallow,NA,4.8,7.5,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2968_L4,,RRAP-ECO03-2023-Shys-ONLI-2968,batch2,L4,ONLI-2968,2968,ONLI,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.9,4.9,Lizard,NA,5m,Shallow,NA,4.9,20,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2986_L4,,RRAP-ECO03-2023-Shys-ONLI-2986,batch2,L4,ONLI-2986,2986,ONLI,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,6.1,6.1,Lizard,NA,5m,Shallow,NA,6.1,>50,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8037_L4,,Deepcat-PM-2014-Shys-SABA-8037,batch2,L4,SABA-8037,8037,SAUN,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8039_L4,,Deepcat-PM-2014-Shys-SABA-8039,batch2,L4,SABA-8039,8039,SAUN,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8038_L4,,Deepcat-PM-2014-Shys-SABA-8038,batch2,L4,SABA-8038,8038,SAUN,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2428_L4,,RRAP-ECO03-2023-Shys-ONLI-2428,batch2,L4,ONLI-2428,2428,ONLI,ONLI_BA2S,ONLI_BA2S,-14.667503,145.4419725,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,ONLI_BA2S_P1,NA,3,5,5,5,HostB,HostB,HostB
