vcf_name,sequence_comments,batch,lane,materialSampleID_full,materialSampleID,individualID,locationID,EcoLocationID,site_code,decimalLatitude,decimalLongitude,coordNote,depthinmeters,depthNote,EcoPlotDepthinmeters,colonyDepthinmeters,reefID,EcoReefHabitat,depth_category,EcoZoneID,EcoPlotID,yearCollected,habitat,habitat_full,lineage_mito,lineage_wgs
RRAP-ECO03-2022-Shys-CBHE-1393_L3,,batch1,L3,RRAP-ECO03-2022-Shys-CBHE-1393,CBHE-1393,1393,CBHE,CBHE_BA2D_P1,CBHE_BA2D,-23.4340395,151.920592,plot coordinates from AG,10.5,NA,10.5,NA,Heron,Back2,10m,Deep,Plot1,2022,Back,,Hap12,NA
RRAP-ECO03-2023-Shys-CBHE-2705_L2,,batch1,L2,RRAP-ECO03-2023-Shys-CBHE-2705,CBHE-2705,2705,CBHE,CBHE_FR2D_P2,CBHE_FR2D,-23.47084618,151.9509202,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front2,10m,Deep,Plot2,2023,Front,,Hap12,NA
RRAP-ECO03-2023-Shys-CBHE-2812_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2812,CBHE-2812,2812,CBHE,CBHE_BA1D_P1,CBHE_BA1D,-23.4280415,151.9524235,plot coordinates from AG,11.7,NA,11.7,NA,Heron,Back1,10m,Deep,Plot1,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2816_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2816,CBHE-2816,2816,CBHE,CBHE_BA1D_P2,CBHE_BA1D,-23.4280535,151.952309,plot coordinates from AG,11.7,NA,11.7,NA,Heron,Back1,10m,Deep,Plot2,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2817_L2,,batch1,L2,RRAP-ECO03-2023-Shys-CBHE-2817,CBHE-2817,2817,CBHE,CBHE_BA1D_P3,CBHE_BA1D,-23.428095,151.952179,plot coordinates from AG,11.3,NA,11.3,NA,Heron,Back1,10m,Deep,Plot3,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2820_L2,,batch1,L2,RRAP-ECO03-2023-Shys-CBHE-2820,CBHE-2820,2820,CBHE,CBHE_BA1D_P3,CBHE_BA1D,-23.428095,151.952179,plot coordinates from AG,11.3,NA,11.3,NA,Heron,Back1,10m,Deep,Plot3,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2818_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2818,CBHE-2818,2818,CBHE,CBHE_BA1D_P3,CBHE_BA1D,-23.428095,151.952179,plot coordinates from AG,11.3,NA,11.3,NA,Heron,Back1,10m,Deep,Plot3,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2775_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2775,CBHE-2775,2775,CBHE,CBHE_BA1S_P2,CBHE_BA1S,-23.428454,151.9524855,plot coordinates from AG,4.8,NA,4.8,NA,Heron,Back1,5m,Shallow,Plot2,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2778_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2778,CBHE-2778,2778,CBHE,CBHE_BA1S_P3,CBHE_BA1S,-23.4284495,151.952358,plot coordinates from AG,4,NA,4,NA,Heron,Back1,5m,Shallow,Plot3,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2779_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2779,CBHE-2779,2779,CBHE,CBHE_BA1S_P3,CBHE_BA1S,-23.4284495,151.952358,plot coordinates from AG,4,NA,4,NA,Heron,Back1,5m,Shallow,Plot3,2023,Back,,Hap11,SH2
