bam_name,materialSampleID,sequence_comments,sample_name,batch,lane,short_name,individualID,locationID_short,mosdepth,coverage,seq_depth,medianDepth,percentMapped,EcoLocationID,site_code,decimalLatitude,decimalLongitude,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-OCDA-1812_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1812_L2,,RRAP-ECO03-2023-Shys-OCDA-1812,batch1,L2,OCDA-1812,1812,OCDA,6.98,90.23,8.07,4.05,0.9658,OCDA_FL1S,OCDA_FL1S,-18.80563,147.66845,4.8,4.8,Davies,Flank1,5m,Shallow,Plot3,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7745_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7745_L4,,Deepcat-PM-2014-Shys-RUBA-7745,batch2,L4,RUBA-7745,7745,RUBY,9.36,88.91,12.76,3.81,0.9608,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7754_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7754_L4,,Deepcat-PM-2014-Shys-RUBA-7754,batch2,L4,RUBA-7754,7754,RUBY,12.13,90.01,15.51,6.96,0.9728,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7756_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7756_L4,,Deepcat-PM-2014-Shys-RUBA-7756,batch2,L4,RUBA-7756,7756,RUBY,10.78,88.79,12.72,4.97,0.9734,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7758_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7758_L4,,Deepcat-PM-2014-Shys-RUBA-7758,batch2,L4,RUBA-7758,7758,RUBY,9.82,89.18,11.37,4.32,0.9757,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7757_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7757_L4,,Deepcat-PM-2014-Shys-RUBA-7757,batch2,L4,RUBA-7757,7757,RUBY,9.18,88.08,11.03,3.89,0.9766,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7746_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7746_L4,,Deepcat-PM-2014-Shys-RUBA-7746,batch2,L4,RUBA-7746,7746,RUBY,11.41,89.32,13.27,3.89,0.9778,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-RUBA-7761_L4_markedRG.bam,Deepcat-PM-2014-Shys-RUBA-7761_L4,,Deepcat-PM-2014-Shys-RUBA-7761,batch2,L4,RUBA-7761,7761,RUBY,10.3,88.7,13.67,5.11,0.9796,NA,NA,-15.69638889,145.7777778,10,10,Ruby,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3022_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3022_L4,,RRAP-ECO03-2023-Shys-ONLI-3022,batch2,L4,ONLI-3022,3022,ONLI,8.41,87.52,9.99,4.54,0.972,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,1.7,1.7,Lizard,NA,5m,Shallow,NA,1.7,20,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3023_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3023_L4,,RRAP-ECO03-2023-Shys-ONLI-3023,batch2,L4,ONLI-3023,3023,ONLI,12.68,89.2,15.22,6.29,0.9762,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,1.7,1.7,Lizard,NA,5m,Shallow,NA,1.7,>50,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3017_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3017_L4,,RRAP-ECO03-2023-Shys-ONLI-3017,batch2,L4,ONLI-3017,3017,ONLI,10.43,88.01,13.23,4.98,0.9777,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2,2,Lizard,NA,5m,Shallow,NA,2,12,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3026_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3026_L4,,RRAP-ECO03-2023-Shys-ONLI-3026,batch2,L4,ONLI-3026,3026,ONLI,10.35,88.18,12.49,5.65,0.9746,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2.2,2.2,Lizard,NA,5m,Shallow,NA,2.2,10,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3024_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3024_L4,,RRAP-ECO03-2023-Shys-ONLI-3024,batch2,L4,ONLI-3024,3024,ONLI,10.75,88.69,13,5.5,0.9719,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,2.8,2.8,Lizard,NA,5m,Shallow,NA,2.8,15,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3019_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3019_L4,,RRAP-ECO03-2023-Shys-ONLI-3019,batch2,L4,ONLI-3019,3019,ONLI,9.89,88,12.09,6.18,0.9705,ONLI_PF1S,ONLI_PF1S,-14.696806,145.449889,3.3,3.3,Lizard,NA,5m,Shallow,NA,3.3,>50,2023,Flank,Palfrey1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2919_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2919_L4,,RRAP-ECO03-2023-Shys-ONLI-2919,batch2,L4,ONLI-2919,2919,ONLI,10.26,88.03,12.22,5.01,0.9747,ONLI_LA1S,ONLI_LA1S,-14.687707,145.465276,4.4,4.4,Lizard,NA,5m,Shallow,NA,4.4,25,2023,Lagoon,Lagoon1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2920_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2920_L4,,RRAP-ECO03-2023-Shys-ONLI-2920,batch2,L4,ONLI-2920,2920,ONLI,9.78,87.73,11.5,5.48,0.9649,ONLI_LA1S,ONLI_LA1S,-14.687707,145.465276,5.8,5.8,Lizard,NA,5m,Shallow,NA,5.8,7,2023,Lagoon,Lagoon1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2998_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2998_L4,,RRAP-ECO03-2023-Shys-ONLI-2998,batch2,L4,ONLI-2998,2998,ONLI,12,89.23,14.4,9.62,0.9638,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.4,1.4,Lizard,NA,5m,Shallow,NA,1.4,20,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2990_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2990_L4,,RRAP-ECO03-2023-Shys-ONLI-2990,batch2,L4,ONLI-2990,2990,ONLI,10.48,88.25,12.08,4.99,0.9742,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.4,1.4,Lizard,NA,5m,Shallow,NA,1.4,35,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2999_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2999_L4,,RRAP-ECO03-2023-Shys-ONLI-2999,batch2,L4,ONLI-2999,2999,ONLI,11.09,88.54,13.89,6.04,0.9759,ONLI_LA1S,ONLI_LA1S,-14.686861,145.454972,1.5,1.5,Lizard,NA,5m,Shallow,NA,1.5,35,2023,Lagoon,Lagoon2,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-3004_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-3004_L4,,RRAP-ECO03-2023-Shys-ONLI-3004,batch2,L4,ONLI-3004,3004,ONLI,10.8,88.17,13.39,5.89,0.9723,ONLI_TA1S,ONLI_TA1S,-14.685111,145.466972,1.2,1.2,Lizard,NA,5m,Shallow,NA,1.2,>50,2023,Lagoon,Tail1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
